Extension Name,Description,IC,"Extensions
Included
(subsets)","Implied By
(and
transitives)","Incompatible
(and
transitives)",Ratified,"Ratification
Date",RVI20,RVA20,RVA22,RVA23,RVB23
Ziccamoa,Main memory atomicity requirement for RVA profiles,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,m,m,m,m
Ziccamoc,Cacheable and coherent PMAs provide `AMOCASQ` level PMA support,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Ziccif,Main memory fetch requirement for RVA profiles,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,m,m,m,m
Zicclsm,Main memory misaligned requirement for RVA profiles,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,m,m,m,m
Ziccrse,Main memory reservability requirement for RVA profiles,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,m,m,m,m
Zicfilp,Landing Pads,unpriv,UDB Missing,,UDB MISSING,Y,2024-07,n,n,n,o,o
Zicfiss,Shadow Stack,unpriv,UDB Missing,,UDB MISSING,Y,2024-07,n,n,n,o,o
Zicntr,Architectural performance counters,unpriv,UDB Missing,,UDB MISSING,Y,2019-12,o,m,m,m,m
Zicond,Integer Conditional Operations,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,m,m
Zicsr,Control and status registers,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zifencei,Instruction fence,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,o,m,m,m,m
Zihintntl,NTL (Non-Temporal Locality) Hint Instructions,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,m,m
Zihintpause,PAUSE instruction,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,m,m,m
Zihpm,Programmable hardware performance counters,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,o,o,m,m,m
Zilsd,Load/Store Pair for RV32,unpriv,UDB Missing,,UDB MISSING,Y,2025-02,n,n,n,n,n
Zimop,May-be Operations,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,m,m
Zk,Standard Cryptography Extensions,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zkn,NIST Algorithm Suite,unpriv,UDB Missing,Zk,UDB MISSING,Y,UDB MISSING,n,n,o,o,o
Zknd,NIST Suite: AES Decryption,unpriv,UDB Missing,"Zkn, Zks",UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zkne,NIST Suite: AES Encryption,unpriv,UDB Missing,"Zkn, Zks",UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zknh,NIST Suite: Hash Function Instructions,unpriv,UDB Missing,"Zkn, Zks",UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zkr,Entropy Source,unpriv,UDB Missing,Zk,UDB MISSING,Y,UDB MISSING,n,n,o,o,o
Zks,ShangMi Algorithm Suite,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,o,o,o
Zksed,ShangMi Suite: SM4 Block Cipher Instructions,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zksh,ShangMi Suite: SM3 Hash Function Instructions,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zkt,Data-independent execution latency,unpriv,UDB Missing,,UDB MISSING,Y,2021-11,n,n,m,m,m
Zmmul,Integer multiplication instructions,unpriv,UDB Missing,,UDB MISSING,Y,2022-06,n,n,n,n,n
Zvbb,Vector Basic Bit-manipulation,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,m,o
Zvbc,Vector Carryless Multiplication,unpriv,UDB Missing,"Zvknc, Zvksc",UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Zvfbfmin,Vector BF16 Converts,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Zvfbfwma,Vector BF16 widening mul-add,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Zvfh,Vector Extension for Half-Precision Floating-Point,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Zvfhmin,Vector Extension for Minimal Half-Precision Floating-Point,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,m,o
Zvkb,Vector Cryptography Bit-manipulation,unpriv,UDB Missing,"Zvbb, Zvkn, Zvks",UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zvkg,Vector GCM/GMAC,unpriv,UDB Missing,"Zvkng, Zvksg",UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Zvkn,NIST Algorithm Suite,unpriv,UDB Missing,"Zvknc, Zvkng",UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zvknc,NIST Algorithm Suite with carryless multiply,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Zvkned,NIST Suite: Vector AES Block Cipher,unpriv,UDB Missing,Zvkn,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zvkng,NIST Algorithm Suite with GCM,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Zvknha,NIST Suite: Vector SHA-2 Secure Hash (SHA-256),unpriv,UDB Missing,Zvknhb,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zvknhb,NIST Suite: Vector SHA-2 Secure Hash (SHA-256 + SHA-512),unpriv,UDB Missing,Zvkn,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zvks,ShangMi Algorithm Suite,unpriv,UDB Missing,"Zvksc, Zvksg",UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zvksc,ShangMi Algorithm Suite with carryless multiplication,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Zvksed,ShangMi Suite: SM4 Block Cipher,unpriv,UDB Missing,Zvks,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zvksg,ShangMi Algorithm Suite with GCM,unpriv,UDB Missing,,UDB MISSING,Y,UDB MISSING,n,n,n,o,o
Zvksh,ShangMi Suite: SM3 Secure Hash,unpriv,UDB Missing,Zvks,UDB MISSING,Y,UDB MISSING,n,n,n,n,n
Zvkt,Vector Data-Independent Execution Latency,unpriv,UDB Missing,"Zvkn, Zvks",UDB MISSING,Y,UDB MISSING,n,n,n,m,o
